merchant_id,name,Ratings,response rate,joined,products,response time,follower
c4a90064-73ca-4af1-8487-28051a53cc3a,Enrichreal.Electronics,8.1k,96%,8 years ago,112,within hours,6.4k
186c4ec9-911f-4bec-99bf-fed98149c2ca,Home & Life Essentials,8.7k,72%,6 years ago,197,within hours,1.5k
81be85de-ed96-42dc-a044-84dfc5b1d9c2,Metapod Official Store,5.7k,65%,34 months ago,797,within hours,15.8k
5cda6e39-4f9a-4162-9008-3c4f488a9472,Hxr Mobile,14.4k,96%,4 years ago,108,within hours,1.9k
79d38a50-d156-4f64-9639-448d57bb4c46,EKOLSINGAPORE,3.9k,97%,17 months ago,27,within minutes,1.8k
759149ef-cca0-4dea-9c60-fb9871ebefce,Pffee Official Shop,30.9k,79%,6 years ago,92,within hours,10.1k
a4456c45-447b-4172-ad49-39f8e8f40d9b,earphone 3c store,2.6k,94%,5 years ago,947,within hours,513
134a8695-af8d-4c3a-928a-ef8e444c1d64,Prefeerdshop.sg,4.7k,100%,31 months ago,223,within minutes,1.2k
2b53fa8f-0125-4ec3-9da2-90edc1b911de,LifeStyle Home Gadgets,3.1k,85%,4 years ago,79,within minutes,2.4k
cdfe7d90-5f5a-4217-95be-97bcad975775,fortuned.sg,603,100%,31 months ago,72,within minutes,249
79a1a2c7-be82-4fbf-be99-572e67c95880,Divoom Singapore Official Store,371,76%,22 months ago,14,within hours,1.6k
3503ff48-803a-4732-81eb-77c7396c5eb4,VOCOAL.Pro.sg,6.2k,99%,13 months ago,123,within minutes,2.9k
124692be-e5ac-4cfc-bcc6-e767ca20055c,Luxury Watch Wizard,3.8k,89%,6 years ago,115,within hours,2.3k
c1899ba5-c63e-4729-84bb-06e5cd341f8e,FATSBY,53,75%,3 years ago,28,within hours,34
90db15ed-fa67-4813-9901-8b438eefdf46,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
06b845e1-4ecd-4eab-8103-a18ffe1a56d9,Yoga-occkic6.sg,1k,100%,3 years ago,214,within hours,458
9e944e4b-8f52-4b55-899e-746ef24cb316,berago1.sg,187,100%,3 years ago,92,within minutes,89
b8b2a45d-a2ff-4c1c-8f33-2b7de45fd882,BOUGHTNEX,92k,93%,3 years ago,1.3k,within hours,72.6k
dd7738a5-f1da-4b63-abb6-fb42c6f8b13c,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
1e682721-07e6-43de-b1b1-83d3a18f5903,QY Mall,388,81%,6 months ago,37,within hours,654
a4955dab-6fea-45a4-a38c-bf72437b2637,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
0b0358b6-256e-4b7b-95c6-f812414e023d,spoetry01.sg,3.7k,100%,5 years ago,286,within minutes,1.6k
82d764aa-79e8-48b6-baba-ef440035abb6,spoetry01.sg,3.7k,100%,5 years ago,286,within minutes,1.6k
144ac5b9-8634-403c-8121-0aaaedc302fc,VIP.SG,6.7k,59%,4 years ago,253,within hours,2k
d748bd29-ed78-4835-a66e-c00a52271ab4,BOUGHTNEX,92k,93%,3 years ago,1.3k,within hours,72.6k
a79cf93c-c5e8-44fe-9513-f847e2e85478,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
bc7e1546-674a-4106-8a9d-e439934c79cf,SQ_80Luv,2.7k,86%,33 months ago,25,within hours,1.3k
e0ac9033-7129-49ec-8158-9505dd80a3da,𝐕𝐅 VINNFIER OFFICIAL STORE SG,416,68%,26 months ago,68,within hours,1.1k
061b041a-1089-43e7-a0b9-78b9ec728502,KHUANKO SHOP,3k,28%,29 months ago,99,within hours,471
1e2dcecf-c3b1-4af0-a687-3b565af66e45,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
97b52a26-da85-41b6-a79e-de4bd5cd8c70,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
896beafd-d121-464a-9fc6-56c516c6c361,fanyi.os,99,37%,6 months ago,95,within hours,65
5b4090a5-3c17-47b7-8177-eaee2a765757,Ashbers,3.4k,88%,27 months ago,265,within hours,3.3k
fbb10a8b-20ce-4a0f-a08b-06f268b1017d,Blackdot Official Store,40.1k,100%,4 years ago,22,within hours,32.7k
f14a9a11-89eb-46c8-86ce-1ff372833da6,Dreambest.sg,4,82%,3 months ago,43,within hours,2
c13cf582-7f9e-4e2f-a051-547fd4b9f9ae,berago.sg,11.4k,100%,6 years ago,306,within minutes,1.7k
6751104c-8c1f-49e2-a2b4-9cf02d56543f,Neineik Store,27.4k,99%,4 years ago,600,within hours,6.4k
b26048be-0072-4e5a-a851-eb79f078d6a7,cicity.sg,3.8k,17%,3 years ago,166,within hours,1.1k
f5c98ece-a617-4871-9ddf-203d456af25e,JBL Official Store,29.1k,66%,5 years ago,234,within hours,91.3k
77020e1c-ee0a-4b72-ae2b-dcba5c600418,VOCOAL.Pro.sg,6.2k,99%,13 months ago,123,within minutes,2.9k
e49d652a-78a6-4ad6-a666-caa769167e33,KHUANKO SHOP,3k,28%,29 months ago,99,within hours,471
59820391-c480-4111-b2f4-a1aaca35b968,Smart Shopping,46.4k,68%,6 years ago,1.1k,within hours,5.4k
c738ea60-48da-46a2-a342-483624bb36da,D.H Digital Store .sg,3.8k,100%,16 months ago,95,within minutes,1.4k
7df728c3-2ca6-48f6-941d-381c0e8339b9,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
9f59f4b8-a9be-43a8-b442-c721e21da450,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
b7b2c264-6075-4916-8d7d-97f885a90ee4,Realwe,12.5k,72%,6 years ago,269,within hours,3.7k
1ede3fdf-7657-4120-a0f2-be10f8c66441,LittleDreamStoreSG,3.3k,95%,21 months ago,68,within hours,3k
a4462e03-600b-466d-bf45-51eeec5de081,spoetry01.sg,3.7k,100%,5 years ago,286,within minutes,1.6k
f21f26b2-2530-404c-8547-e010b8862156,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
862c586f-5e50-4744-8869-04733039ec88,Luxury Watch Wizard,3.8k,89%,6 years ago,115,within hours,2.3k
